"year","age","sex","deaths","year_new"
"2003",85,"female",1,2003
"2005",85,"female",0,2005
"2006",85,"female",2,2006
"2007",85,"female",1,2007
"2008",85,"female",1,2008
"2009",85,"female",1,2010
"2010",85,"female",0,2010
"2011",85,"female",0,2010
"2012",85,"female",0,2012
"2013",85,"female",1,2013
"2014",85,"female",1,2014
"2015",85,"female",1,2015
"2016",85,"female",0,2016
"2018",85,"female",1,2019
"2019",85,"female",1,2019
"2020",85,"female",2,2021
"2021",85,"female",0,2021
"2022",85,"female",2,2021
"2023",85,"female",3,2023
"2024",85,"female",0,2024
