"year","sex","age","deaths"
2000,"male",1,203.536147397357
2000,"male",5,133.003819091342
2000,"male",10,127.965795640912
2000,"male",15,305.304221096035
2000,"male",20,330.494338348183
2000,"male",25,330.494338348183
2000,"male",30,336.539966488699
2000,"male",35,382.889782232651
2000,"male",40,382.889782232651
2000,"male",45,470.551390270127
2000,"male",50,532.015276365368
2000,"male",55,594.486767150695
2000,"male",60,692.22442208903
2000,"male",65,865.532428783809
2000,"male",70,958.232060271714
2000,"male",75,1042.87085423893
2000,"male",80,831.273869320888
2000,"male",85,1837.87095471673
2001,"male",0,1172.53751729667
2001,"male",1,180.292984381314
2001,"male",5,123.888475301126
2001,"male",10,106.765677901783
2001,"male",15,271.950311636618
2001,"male",20,329.086123212834
2001,"male",25,298.138119423848
2001,"male",30,314.984515989658
2001,"male",35,360.585968762627
2001,"male",40,415.983254466383
2001,"male",45,467.351646664411
2001,"male",50,509.655028474551
2001,"male",55,573.110101189762
2001,"male",60,664.276348307413
2001,"male",65,820.406067073102
2001,"male",70,977.548553494558
2001,"male",75,940.746633587413
2001,"male",80,827.937615427038
2001,"male",85,1799.90817368384
2002,"male",0,1276.60799357647
2002,"male",1,213.173345007611
2002,"male",5,115.636484320166
2002,"male",10,135.747177245413
2002,"male",15,272.499889137088
2002,"male",20,307.693601756269
2002,"male",25,290.599512769809
2002,"male",30,319.437040644309
2002,"male",35,375.064423055844
2002,"male",40,418.302412845124
2002,"male",45,477.6289569746
2002,"male",50,504.778392423683
2002,"male",55,670.691609056965
2002,"male",60,709.907460261195
2002,"male",65,893.920300527199
2002,"male",70,1012.57338878615
2002,"male",75,1056.33875688641
2002,"male",80,961.291121826775
2002,"male",85,1797.3094638066
2003,"male",0,1130.33134911307
2003,"male",1,173.93410502065
2003,"male",5,114.615537412452
2003,"male",10,142.766722040071
2003,"male",15,236.268870981808
2003,"male",20,314.690028158749
2003,"male",25,323.738623217627
2003,"male",30,334.798017178477
2003,"male",35,390.09498698273
2003,"male",40,435.337962277119
2003,"male",45,515.769918356033
2003,"male",50,539.899505179707
2003,"male",55,671.606833258927
2003,"male",60,778.179175063488
2003,"male",65,897.821709730871
2003,"male",70,1037.57223341798
2003,"male",75,1148.16617302649
2003,"male",80,988.307660319649
2003,"male",85,1929.36154644294
2004,"male",0,1116.31499584224
2004,"male",1,187.341261441685
2004,"male",5,94.6778418038624
2004,"male",10,112.807641298219
2004,"male",15,289.069580826686
2004,"male",20,278.997469996488
2004,"male",25,323.031833187837
2004,"male",30,348.495034724855
2004,"male",35,336.408501728617
2004,"male",40,433.100765698519
2004,"male",45,484.46853093253
2004,"male",50,595.261750064709
2004,"male",55,663.752103710056
2004,"male",60,725.191979774265
2004,"male",65,870.230375729118
2004,"male",70,1051.05279985261
2004,"male",75,1131.61856995248
2004,"male",80,1136.13410164635
2004,"male",85,1834.13138217908
2005,"male",0,1037.14853509019
2005,"male",1,158.700273386709
2005,"male",5,89.3944577937794
2005,"male",10,129.571742195478
2005,"male",15,282.245422921933
2005,"male",20,326.440435763801
2005,"male",25,317.400546773419
2005,"male",30,331.462596314013
2005,"male",35,374.653177045839
2005,"male",40,439.941264198599
2005,"male",45,540.384475202846
2005,"male",50,599.214400300702
2005,"male",55,681.004970608791
2005,"male",60,803.545688033972
2005,"male",65,957.223800870469
2005,"male",70,1110.90191370697
2005,"male",75,1264.11191684192
2005,"male",80,1207.82383023332
2005,"male",85,1961.65591091293
2006,"male",0,945.50339018944
2006,"male",1,149.573829456996
2006,"male",5,85.3273523747962
2006,"male",10,118.454442120305
2006,"male",15,256.985908328798
2006,"male",20,289.109146869898
2006,"male",25,301.15536132281
2006,"male",30,384.475011288787
2006,"male",35,386.482713697606
2006,"male",40,418.605952238706
2006,"male",45,525.014179906099
2006,"male",50,635.437812391129
2006,"male",55,703.699694290966
2006,"male",60,826.169541228909
2006,"male",65,899.450679150792
2006,"male",70,1108.25172966794
2006,"male",75,1220.68306456179
2006,"male",80,1240.76008864998
2006,"male",85,1930.84841671334
2007,"male",0,924.8138553799
2007,"male",1,159.61962483685
2007,"male",5,86.3351429935163
2007,"male",10,125.487126444064
2007,"male",15,338.313292893198
2007,"male",20,338.313292893198
2007,"male",25,307.19248553507
2007,"male",30,371.441894274431
2007,"male",35,409.589980713426
2007,"male",40,466.81211037192
2007,"male",45,521.612608507642
2007,"male",50,635.466808312742
2007,"male",55,751.918861652834
2007,"male",60,868.370914992926
2007,"male",65,916.557971547447
2007,"male",70,1136.94619892078
2007,"male",75,1197.64913478215
2007,"male",80,1326.14795226087
2007,"male",85,1997.75505298951
2008,"male",0,882.31370236993
2008,"male",1,141.422341185436
2008,"male",5,90.2695794800654
2008,"male",10,115.344462668972
2008,"male",15,329.985462766017
2008,"male",20,378.129238488718
2008,"male",25,355.060345954924
2008,"male",30,378.129238488718
2008,"male",35,470.404808623896
2008,"male",40,494.476696485247
2008,"male",45,540.614481552836
2008,"male",50,703.099724616953
2008,"male",55,821.453173268595
2008,"male",60,940.809617247792
2008,"male",65,991.962378953163
2008,"male",70,1198.57941642976
2008,"male",75,1356.04968285609
2008,"male",80,1422.24737447481
2008,"male",85,2166.46990752157
2009,"male",0,808.779562220649
2009,"male",1,148.38139421683
2009,"male",5,88.2267749397366
2009,"male",10,118.304084578283
2009,"male",15,376.968947469784
2009,"male",20,406.043680120379
2009,"male",25,390.002448313154
2009,"male",30,458.177683493859
2009,"male",35,472.213761325181
2009,"male",40,497.27818602397
2009,"male",45,623.602886505866
2009,"male",50,726.868316264875
2009,"male",55,771.984280722695
2009,"male",60,901.316712168446
2009,"male",65,973.502255300957
2009,"male",70,1236.17742614426
2009,"male",75,1346.46089481893
2009,"male",80,1327.41193204786
2009,"male",85,2228.7286442163
2010,"male",0,863.981938363942
2010,"male",1,135.522480500188
2010,"male",5,77.2980073964033
2010,"male",10,124.479908014987
2010,"male",15,332.281044781942
2010,"male",20,395.524869015363
2010,"male",25,373.439724044962
2010,"male",30,370.42811336718
2010,"male",35,472.822876411766
2010,"male",40,521.008647256277
2010,"male",45,577.225379908207
2010,"male",50,738.848486282505
2010,"male",55,832.208417293745
2010,"male",60,965.723157342078
2010,"male",65,1108.27272942376
2010,"male",70,1286.96162963882
2010,"male",75,1531.90596476508
2010,"male",80,1490.74728550206
2010,"male",85,2525.73748843313
2011,"male",0,787.613781192629
2011,"male",1,138.248909137177
2011,"male",5,78.660531284283
2011,"male",10,82.694404683477
2011,"male",15,341.870770581692
2011,"male",20,413.472023417385
2011,"male",25,436.666795462751
2011,"male",30,428.599048664363
2011,"male",35,473.980124405295
2011,"male",40,532.471288693608
2011,"male",45,607.097946578697
2011,"male",50,742.232705451696
2011,"male",55,836.020261982957
2011,"male",60,962.078805707769
2011,"male",65,1114.35752652734
2011,"male",70,1284.78867764329
2011,"male",75,1397.73713282072
2011,"male",80,1484.46541090339
2011,"male",85,2473.77286205572
2012,"male",0,781.360845156042
2012,"male",1,129.061132974106
2012,"male",5,81.6714982101767
2012,"male",10,126.036262670026
2012,"male",15,360.967856286954
2012,"male",20,461.796866422974
2012,"male",25,353.909825577432
2012,"male",30,413.398941557684
2012,"male",35,534.393753720909
2012,"male",40,514.227951693705
2012,"male",45,669.504627303176
2012,"male",50,793.524309770482
2012,"male",55,907.461091224185
2012,"male",60,1001.23207065068
2012,"male",65,1199.86522061864
2012,"male",70,1272.46210791658
2012,"male",75,1519.49318274983
2012,"male",80,1541.67556497975
2012,"male",85,2485.43509985291
2013,"male",0,758.184421826587
2013,"male",1,130.622495603004
2013,"male",5,68.3256130846482
2013,"male",10,91.4357469221027
2013,"male",15,335.599334856949
2013,"male",20,434.068600773059
2013,"male",25,405.703980607112
2013,"male",30,443.111696622498
2013,"male",35,557.657577382055
2013,"male",40,605.887421912395
2013,"male",45,687.275284557344
2013,"male",50,855.074951985818
2013,"male",55,1054.02306067347
2013,"male",60,1105.26727048696
2013,"male",65,1267.03820734914
2013,"male",70,1282.11003376487
2013,"male",75,1507.18264157312
2013,"male",80,1542.35023654316
2013,"male",85,2619.48343105409
2014,"male",0,792.157685202097
2014,"male",1,117.50869968282
2014,"male",5,70.3043502375847
2014,"male",10,115.500003961746
2014,"male",15,353.530446908998
2014,"male",20,494.139147384167
2014,"male",25,449.947841520542
2014,"male",30,507.195669571147
2014,"male",35,580.513063390343
2014,"male",40,642.782630743632
2014,"male",45,711.078285260143
2014,"male",50,919.982640251823
2014,"male",55,1048.53916640055
2014,"male",60,1157.00873533854
2014,"male",65,1250.41308636847
2014,"male",70,1342.81308953787
2014,"male",75,1492.46092075787
2014,"male",80,1589.88266322995
2014,"male",85,2682.61313549413
2015,"male",0,711.324485224941
2015,"male",1,149.882946983983
2015,"male",5,62.3674007584357
2015,"male",10,102.604433505814
2015,"male",15,390.299217649566
2015,"male",20,515.034019166437
