"comparacion","edad","contribucion","contribucion_abs","porcentaje"
"m_2010_2021",0,0.0244911845909181,0.0244911845909181,-0.974312105987827
"m_2010_2021",1,0.00515571477532016,0.00515571477532016,-0.20510544526611
"m_2010_2021",5,0.00101933410157249,0.00101933410157249,-0.0405513074110996
"m_2010_2021",10,-0.00440378433013242,0.00440378433013242,0.175192031609553
"m_2010_2021",15,-0.0506790932012694,0.0506790932012694,2.01612355021784
"m_2010_2021",20,-0.0946075385295288,0.0946075385295288,3.7636917791723
"m_2010_2021",25,-0.11958944216373,0.11958944216373,4.75752574629081
"m_2010_2021",30,-0.123684166486647,0.123684166486647,4.92042270473275
"m_2010_2021",35,-0.116014381443281,0.116014381443281,4.6153021259247
"m_2010_2021",40,-0.125258674006493,0.125258674006493,4.98306000722254
"m_2010_2021",45,-0.147078599465998,0.147078599465998,5.85110366791305
"m_2010_2021",50,-0.174754985181184,0.174754985181184,6.95212993931253
"m_2010_2021",55,-0.234466302451417,0.234466302451417,9.3275748290808
"m_2010_2021",60,-0.268771344620121,0.268771344620121,10.6923033401625
"m_2010_2021",65,-0.311342781641737,0.311342781641737,12.3858868540788
"m_2010_2021",70,-0.320070143579703,0.320070143579703,12.7330801210247
"m_2010_2021",75,-0.288121004235103,0.288121004235103,11.4620745016853
"m_2010_2021",80,-0.16551384986829,0.16551384986829,6.58449766023677
"m_2010_2021",85,0,0,0
"f_2010_2021",0,0.0185710920318116,0.0185710920318116,-1.37789450734184
"f_2010_2021",1,0.00412584162593278,0.00412584162593278,-0.306119559625086
"f_2010_2021",5,0.00150196580821718,0.00150196580821718,-0.111439350675375
"f_2010_2021",10,-0.00148799701357133,0.00148799701357133,0.110402926679212
"f_2010_2021",15,-0.00641120710080907,0.00641120710080907,0.475683768865265
"f_2010_2021",20,-0.0187938940223846,0.0187938940223846,1.39442544900696
"f_2010_2021",25,-0.0259819576214089,0.0259819576214089,1.92774860170867
"f_2010_2021",30,-0.0279270350576063,0.0279270350576063,2.07206491391584
"f_2010_2021",35,-0.0311771650209043,0.0311771650209043,2.31321046512544
"f_2010_2021",40,-0.0422188725701354,0.0422188725701354,3.13245729012092
"f_2010_2021",45,-0.0595140844214733,0.0595140844214733,4.41568702009321
"f_2010_2021",50,-0.058735061020276,0.058735061020276,4.35788686145085
"f_2010_2021",55,-0.123760659779972,0.123760659779972,9.18250434835581
"f_2010_2021",60,-0.148017487217641,0.148017487217641,10.982255770332
"f_2010_2021",65,-0.200475241917271,0.200475241917271,14.8743937202323
"f_2010_2021",70,-0.259490111474877,0.259490111474877,19.253041161946
"f_2010_2021",75,-0.252451172386888,0.252451172386888,18.7307824013819
"f_2010_2021",80,-0.115544605150782,0.115544605150782,8.57290871842787
"f_2010_2021",85,-6.43296644237705e-16,6.43296644237705e-16,4.77298217664428e-14
