"x","mx","qx","ax","lx","dx","Lx","Tx","ex","year","sex"
25,0.00475280249807639,0.0232663997769665,0.5,95458.2803187562,2220.97051191791,467297.034290151,4087910.66319471,42.8240551740957,2021,"m"
30,0.00507776208534736,0.0248216377567972,0.5,93237.3098068383,2314.30272944362,455772.186751695,3620613.62890456,38.8322404025326,2021,"m"
35,0.00532045789363451,0.0259802683118883,0.5,90923.0070773947,2362.20411959443,443985.116848799,3164841.44215286,34.8079275409239,2021,"m"
40,0.00641544150253244,0.0311771394967039,0.5,88560.8029578003,2761.07250775545,430379.188504102,2720856.32530407,30.7230313460524,2021,"m"
45,0.00849495069672624,0.0409108432981254,0.5,85799.7304500448,3510.13932746318,413203.02527664,2290477.13679996,26.6956215921162,2021,"m"
50,0.0115673928108769,0.0549753190574034,0.5,82289.5911225817,4523.8965270672,391090.421241106,1877274.11152332,22.8130202849941,2021,"m"
55,0.0165360657063063,0.0769540044023113,0.5,77765.6945955145,5984.38160425201,361898.755758438,1486183.69028222,19.1110450181453,2021,"m"
60,0.0228804571083729,0.10372277524606,0.5,71781.3129912625,7445.35699425977,325402.458482143,1124284.93452378,15.662640980956,2021,"m"
65,0.0331196374130395,0.144118935994925,0.5,64335.9559970027,9272.02952450434,279955.647124744,798882.476041636,12.4173561061074,2021,"m"
70,0.0466495651515787,0.192779059025482,0.5,55063.9264724983,10615.1719316166,227551.358670217,518926.828916892,9.42407964996956,2021,"m"
75,0.0697802680475311,0.265523869650213,0.5,44448.7545408818,11802.2053068274,169133.848823686,291375.470246675,6.55531236490962,2021,"m"
80,0.102668175258678,0.351120720008742,0.5,32646.5492340544,11462.879872862,111649.786742393,122241.621422989,3.74439639995629,2021,"m"
85,0.187672056809465,1,0.5,21183.6693611924,21183.6693611924,10591.8346805962,10591.8346805962,0.5,2021,"m"
0,0.0122371157716308,0.0121019460259163,0.0872639241605662,1e+05,1210.19460259163,98895.4117274285,7520007.05576545,75.2000705576545,2010,"f"
1,0.000539346249342828,0.00215448394408468,1.50342405825866,98789.8053974084,212.841049567966,394627.847745867,7421111.64403803,75.120217255056,2010,"f"
5,0.00022485682380497,0.00112314765565953,0.5,98576.9643478404,110.71648640931,492386.59755036,7026483.79629216,71.2791659063307,2010,"f"
10,0.000271165512826731,0.0013541751389516,0.5,98466.2478614311,133.340544879796,491731.206855196,6534097.1987418,66.3587507461141,2010,"f"
15,0.000496266038360037,0.00247580123947222,0.5,98332.9073165513,243.452733815225,490568.999280588,6042365.9918866,61.4480559639627,2010,"f"
20,0.000504614214650635,0.00251735475478655,0.5,98089.4545827361,246.92595488827,489336.106116683,5551796.99260601,56.5993257503864,2010,"f"
25,0.000568921876828317,0.00283734535883118,0.5,97842.5286278478,277.613044498531,487963.384438996,5062460.88648933,51.7409040576294,2010,"f"
30,0.000672948278070149,0.003354582817064,0.5,97564.9155833493,327.289589364203,486351.774764607,4574497.50205034,46.8867058890894,2010,"f"
35,0.000994933764232432,0.00495249549871221,0.5,97237.6259939851,481.568905040672,484021.069897242,4088145.72728573,42.0428376926707,2010,"f"
40,0.00148979399048781,0.00739936407583781,0.5,96756.0570889444,715.933292943647,480558.585626475,3604124.65738849,37.2496024106826,2010,"f"
45,0.00251808920694568,0.0124493771447324,0.5,96040.1237960007,1195.6397221632,474820.240230269,3123566.07176201,32.5235531598938,2010,"f"
50,0.00432842439225447,0.0212286325716052,0.5,94844.4840738375,2013.41870384696,465162.036201876,2648745.83153174,27.9272522529583,2010,"f"
55,0.00696736632010343,0.0337777914899419,0.5,92831.0653699906,3135.62836985671,450044.999185598,2183583.79532987,23.5221236191452,2010,"f"
60,0.0106345995641341,0.0507445804992049,0.5,89695.4370001339,4551.55732326465,427995.177045978,1733538.79614427,19.3269452061612,2010,"f"
65,0.0161080168327192,0.0750966245482311,0.5,85143.8796768692,6394.01796467361,396946.317543315,1305543.61909829,15.3333818479141,2010,"f"
70,0.0228913247345884,0.103767439933197,0.5,78749.8617121956,8171.67154496785,356976.786608623,908597.301554975,11.5377637725333,2010,"f"
75,0.0396888477919712,0.1683728746802,0.5,70578.1901672278,11883.452768182,299415.41337932,551620.514946352,7.81573618761467,2010,"f"
80,0.0614267227169662,0.240621075268216,0.5,58694.7373990458,14123.190825544,229919.328280281,252205.101567032,4.29689462365892,2010,"f"
85,0.137993061861987,1,0.5,44571.5465735018,44571.5465735018,22285.7732867509,22285.7732867509,0.5,2010,"f"
0,0.0109410385892151,0.0108324327717108,0.0836349080498023,1e+05,1083.24327717108,99007.3536747107,7524291.01590176,75.2429101590177,2019,"f"
1,0.000474820918162906,0.00189703664735608,1.50539150342157,98916.7567228289,187.648712540812,395198.916818639,7425283.66222705,75.0659838457216,2019,"f"
5,0.000211591571984019,0.0010569514708156,0.5,98729.1080102881,104.351875923787,493175.956609783,7030084.74540841,71.2057962143833,2019,"f"
10,0.000222156528252489,0.00110967329601123,0.5,98624.7561343643,109.441258207924,492631.295009886,6536908.78879863,66.2806078819894,2019,"f"
15,0.000527631321163457,0.00263190755993366,0.5,98515.3148761564,259.283201991801,491409.799971819,6044277.49378875,61.3536839565199,2019,"f"
20,0.000742984313326663,0.00370254237755653,0.5,98256.0316741646,363.797121124131,489643.071325764,5552867.69381693,56.5142678693892,2019,"f"
25,0.000941466844297129,0.00468747526005203,0.5,97892.2345530405,458.867427618588,487396.269340919,5063224.62249116,51.7224338131517,2019,"f"
30,0.00101765643111154,0.00506508682374627,0.5,97433.3671254219,493.508464020207,484946.047539018,4575828.35315024,46.9636684859713,2019,"f"
35,0.00119404924424731,0.00593833821408179,0.5,96939.8586614017,575.661667156689,482108.815804803,4090882.30561122,42.2002090997486,2019,"f"
40,0.00173364988629222,0.00860114822308591,0.5,96364.196994245,828.84274174615,478091.192633367,3608773.48980642,37.4493183399011,2019,"f"
45,0.00258596503696403,0.012781093609384,0.5,95535.3542524988,1221.04630570685,472182.062886813,3130682.29717305,32.7698821202745,2019,"f"
50,0.00412710319306701,0.0202592616792891,0.5,94314.307946792,1910.73824479511,462973.217632382,2658500.23428624,28.1876662423908,2019,"f"
55,0.00662720085182682,0.0321764258922653,0.5,92403.5697019969,2973.21661269707,448638.373752848,2195527.01665386,23.7601969678712,2019,"f"
60,0.0100073979189343,0.0478807613528344,0.5,89430.3530892998,4281.99339396848,427882.795173641,1746888.64290101,19.5335094020782,2019,"f"
65,0.01496526069565,0.0701051642146257,0.5,85148.3596953313,5969.33973904722,398879.769650944,1319005.84772737,15.4906782989936,2019,"f"
70,0.022625177194399,0.10267246387526,0.5,79179.0199562841,8129.50506614007,359312.32698379,920126.078076427,11.6208318641029,2019,"f"
75,0.0370494401073717,0.158775718849732,0.5,71049.514890144,11280.9378006074,304483.354347987,560813.751092637,7.89328050951172,2019,"f"
80,0.0619607880396647,0.242256987779206,0.5,59768.5770895367,14479.3554495604,233685.785924661,256330.39674465,4.28871506110397,2019,"f"
85,0.14357169803647,1,0.5,45289.2216399763,45289.2216399763,22644.6108199881,22644.6108199881,0.5,2019,"f"
0,0.00836713463436766,0.00830297215942776,0.0764279769762295,1e+05,830.297215942776,99233.1607205607,7275125.27344253,72.7512527344253,2021,"f"
1,0.000400001450718143,0.00159841332902776,1.50929868962503,99169.7027840572,158.514174765759,396283.999673427,7175892.11272197,72.3597218834822,2021,"f"
5,0.000192699116380345,0.000962660814404332,0.5,99011.1886092915,95.3141914617615,494627.029184879,6779608.11304854,68.4731514516161,2021,"f"
10,0.000303112273477049,0.00151349694962938,0.5,98915.8744178297,149.708874201308,493905.682155243,6284981.08386366,63.5386495934447,2021,"f"
15,0.000634569050269213,0.0031638107974876,0.5,98766.1655436284,312.477460973379,492424.679143762,5791075.40170842,58.6342030171284,2021,"f"
20,0.000912036897759072,0.00454154523308101,0.5,98453.688082655,447.131877791026,490256.346963215,5298650.72256466,53.8187123890806,2021,"f"
25,0.00113472845703049,0.00564481827346894,0.5,98006.556204864,553.229199384977,487543.249627087,4808394.37560144,49.0619664826342,2021,"f"
30,0.00128417307970228,0.00638397382553416,0.5,97453.327005479,622.139488814199,484467.007327731,4320851.12597436,44.337646119885,2021,"f"
35,0.00168313374700521,0.00835240675547124,0.5,96831.1875166648,808.773464754493,480516.456991929,3836384.11864663,39.6193025928385,2021,"f"
40,0.00243533151120119,0.0120446602233793,0.5,96022.4140519103,1156.5573510839,474907.562179674,3355867.6616547,34.9487949744785,2021,"f"
45,0.00388285098175869,0.0190808583261139,0.5,94865.8567008264,1810.12197169389,466183.73463151,2880960.09947502,30.368777552503,2021,"f"
50,0.00572835056884611,0.0279219915416416,0.5,93055.7347291325,2598.30143800808,453586.317174626,2414776.36484351,25.9497855975504,2021,"f"
55,0.0101189451497665,0.0483912193254519,0.5,90457.4332911244,4377.34549400823,432589.111732585,1961190.04766889,21.6808058366754,2021,"f"
60,0.0147516180860864,0.0691666503821417,0.5,86080.0877971162,5953.8713375272,403608.017966709,1528600.9359363,17.7578923889935,2021,"f"
65,0.0224750035151011,0.102053572747479,0.5,80126.216459589,8177.16666043888,363833.83232597,1124992.91796959,14.0402600756392,2021,"f"
70,0.0328668579283326,0.143160699038654,0.5,71949.0497991501,10300.2762644133,313394.005805891,761159.085643623,10.579140207806,2021,"f"
75,0.0526729214657287,0.212901062965629,0.5,61648.7735347369,13125.0894160728,249180.965301357,447765.079837732,7.26316282002646,2021,"f"
80,0.0754020829023379,0.281496136811292,0.5,48523.6841186641,13659.2296232554,181151.887288671,198584.114536376,4.09251931594354,2021,"f"
85,0.16805146216701,1,0.5,34864.4544954087,34864.4544954087,17432.2272477043,17432.2272477043,0.5,2021,"f"
